143 [ INFO    | MainThread| SLAHelper| set_sla_lock ] --> SLA sate is locked? R: True
186 [ INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ1 created 13 hosts, availab: 0.999
189 [ INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ2 created 7 hosts, availab: 0.999
194 [ INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ3 created 7 hosts, availab: 0.999
199 [ INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ4 created 12 hosts, availab: 0.999
210 [ INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ5 created 31 hosts, availab: 0.999
217 [ INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ6 created 31 hosts, availab: 0.999
217 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> Passando pela az: AZ1
218 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> AAAAAAAAAAAz -1 AZ1
218 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> Passando pela az: AZ2
218 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> AAAAAAAAAAAz -1 AZ2
218 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> Passando pela az: AZ3
218 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> AAAAAAAAAAAz -1 AZ3
218 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> Passando pela az: AZ4
219 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> AAAAAAAAAAAz -1 AZ4
219 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> Passando pela az: AZ5
220 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> AAAAAAAAAAAz -1 AZ5
220 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> Passando pela az: AZ6
225 [ INFO    | MainThread| Chave   | az_optimized_placement ] --> AAAAAAAAAAAz -1 AZ6
