INFO    | MainThread| SLAHelper| set_sla_lock ] --> SLA sate is locked? R: True
INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ1 created 13 hosts, availab: 0.999
INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ2 created 7 hosts, availab: 0.999
INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ3 created 7 hosts, availab: 0.999
INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ4 created 12 hosts, availab: 0.999
INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ5 created 31 hosts, availab: 0.999
INFO    | MainThread| DistInfra| create_infrastructure ] --> AZ AZ6 created 31 hosts, availab: 0.999
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_lc0
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_lc1
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_AZ6
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_AZ1
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_AZ2
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_AZ3
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_AZ4
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_AZ5
DEBUG   | MainThread| Chave   | run      ] --> Executing thread for: T_gvt
INFO    | T_gvt   | Chave   | gvt      ] --> Init GVT in -1 to 13982
INFO    | T_AZ1   | Chave   | best_host ] --> Best host for i-5521424F-regular (vcpu:2) is NODE0 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ1   | Virtual | set_host_id ] --> Host id NODE0 defined for i-5521424F t:regular, az:AZ1
INFO    | T_AZ1   | Chave   | place    ] --> Allocating i-5521424F in NODE0 regular AZ1
INFO    | T_AZ1   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
DEBUG   | T_gvt   | Chave   | gvt      ] --> GVT s:0, h:0
INFO    | T_AZ1   | Chave   | az_optimized_placement ] --> New max host on: 1 at 0 sec
DEBUG   | T_AZ1   | Chave   | measure_energy ] --> Energy at 0 from START sec is 147.1 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-0B284069-regular (vcpu:4) is NODE0 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE0 defined for i-0B284069 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-0B284069 in NODE0 regular AZ4
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 1 at 0 sec
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 157.08 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-153C3F8D-regular (vcpu:4) is NODE0 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE0 defined for i-153C3F8D t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-153C3F8D in NODE0 regular AZ4
INFO    | T_AZ4   | Chave   | avg_energy_h ] --> Media da ultima HORA: 157.08 WH at 0 h (0 s)
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 172.52 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-261C3FE2-critical (vcpu:4) is NODE1 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_AZ4   | Chave   | require_replica ] --> i-261C3FE2-critical require replication! AZ4=?AZ4
INFO    | T_AZ4   | Chave   | replicate_vm ] --> Pool lc1_AZ4_i-261C3FE2 created for replication
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE1 defined for i-261C3FE2 t:critical, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-261C3FE2 in NODE1 critical AZ4
