[INFO    | SLAHelper| set_sla_lock ] --> SLA sate is locked? R: True
[DEBUG   | __init__| main     ] --> HA Initial {azid}: {ha_d['this_az']}
[INFO    | DistInfra| create_infrastructure ] --> AZ1 created 13 hosts :: 24 cores, av: 0.999
[DEBUG   | __init__| main     ] --> HA Initial {azid}: {ha_d['this_az']}
[INFO    | DistInfra| create_infrastructure ] --> AZ2 created 7 hosts :: 12 cores, av: 0.999
[DEBUG   | __init__| main     ] --> HA Initial {azid}: {ha_d['this_az']}
[INFO    | DistInfra| create_infrastructure ] --> AZ3 created 7 hosts :: 8 cores, av: 0.999
[DEBUG   | __init__| main     ] --> HA Initial {azid}: {ha_d['this_az']}
[INFO    | DistInfra| create_infrastructure ] --> AZ4 created 12 hosts :: 8 cores, av: 0.999
[DEBUG   | __init__| main     ] --> HA Initial {azid}: {ha_d['this_az']}
[INFO    | DistInfra| create_infrastructure ] --> AZ5 created 31 hosts :: 32 cores, av: 0.999116416343
[DEBUG   | __init__| main     ] --> HA Initial {azid}: {ha_d['this_az']}
[INFO    | DistInfra| create_infrastructure ] --> AZ6 created 31 hosts :: 32 cores, av: 0.999
[INFO    | Chave_serial| best_host ] --> 	AZ1	 Best host for i-5521424F-regular (vcpu:2) is NODE0 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-5521424F t:regular, az:AZ1
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-5521424F in h:NODE0 t:regular az:AZ1
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 2
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ1	 New max host on: 1 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 147.1 WH
