fragmentation 	 0.0463709677419
vms_total 	 5
hosts_on 	 2
energy 	 343.76
state 	 True
migrations 	 0
len_hosts 	 31
efficiency 	 0
step 	 before_0
hosts_on2 	 2
time 	 5154
objective 	 1
az_id 	 AZ5
vms_total2 	 5

fragmentation 	 0.0141129032258
vms_total 	 5
hosts_on 	 1
energy 	 198.46
state 	 True
migrations 	 1
len_hosts 	 31
efficiency 	 145.3
step 	 after_0
time 	 5154
objective 	 0
az_id 	 AZ5

fragmentation 	 0.0322580645161
vms_total 	 8
hosts_on 	 2
energy 	 362.08
state 	 True
migrations 	 0
len_hosts 	 31
efficiency 	 0
step 	 before_1
hosts_on2 	 2
time 	 58347
objective 	 1
az_id 	 AZ5
vms_total2 	 8

fragmentation 	 0.0
vms_total 	 8
hosts_on 	 1
energy 	 209.0
state 	 True
migrations 	 1
len_hosts 	 31
efficiency 	 153.08
step 	 after_1
time 	 58347
objective 	 0
az_id 	 AZ5

fragmentation 	 0.0443548387097
vms_total 	 11
hosts_on 	 4
energy 	 788.6
state 	 True
migrations 	 0
len_hosts 	 31
efficiency 	 0
step 	 before_2
hosts_on2 	 4
time 	 80827
objective 	 1
az_id 	 AZ5
vms_total2 	 11

fragmentation 	 0.0120967741935
vms_total 	 11
hosts_on 	 3
energy 	 617.51
state 	 True
migrations 	 9
len_hosts 	 31
efficiency 	 171.09
step 	 after_2
time 	 80827
objective 	 0
az_id 	 AZ5

fragmentation 	 0.0322580645161
vms_total 	 11
hosts_on 	 3
energy 	 582.79
state 	 True
migrations 	 0
len_hosts 	 31
efficiency 	 0
step 	 before_3
hosts_on2 	 3
time 	 81357
objective 	 1
az_id 	 AZ5
vms_total2 	 11

fragmentation 	 0.0
vms_total 	 11
hosts_on 	 2
energy 	 418.0
state 	 True
migrations 	 6
len_hosts 	 31
efficiency 	 164.79
step 	 after_3
time 	 81357
objective 	 0
az_id 	 AZ5

fragmentation 	 0.0342741935484
vms_total 	 11
hosts_on 	 3
energy 	 561.1
state 	 True
migrations 	 0
len_hosts 	 31
efficiency 	 0
step 	 before_4
hosts_on2 	 3
time 	 84071
objective 	 1
az_id 	 AZ5
vms_total2 	 11

fragmentation 	 0.00201612903226
vms_total 	 11
hosts_on 	 2
energy 	 416.0
state 	 True
migrations 	 1
len_hosts 	 31
efficiency 	 145.1
step 	 after_4
time 	 84071
objective 	 0
az_id 	 AZ5

fragmentation 	 0.0362903225806
vms_total 	 7
hosts_on 	 2
energy 	 372.03
state 	 True
migrations 	 0
len_hosts 	 31
efficiency 	 0
step 	 before_5
hosts_on2 	 2
time 	 150147
objective 	 1
az_id 	 AZ5
vms_total2 	 7

fragmentation 	 0.00403225806452
vms_total 	 7
hosts_on 	 1
energy 	 205.0
state 	 True
migrations 	 5
len_hosts 	 31
efficiency 	 167.03
step 	 after_5
time 	 150147
objective 	 0
az_id 	 AZ5

