id	ws	wt	sv	energy cons	overb
DS1	10	10	3	2631.590000	0
DS2	10	10	4	1417.010000	0
DS3	10	10	15	1417.010000	0
DS4	10	10	10	2429.160000	0
DS5	10	10	13	6275.330000	0
DS6	10	10	26	6072.900000	0
DS1	30	10	2	2631.590000	0
DS2	30	10	1	1417.010000	0
DS3	30	10	7	1417.010000	0
DS4	30	10	7	2429.160000	0
DS5	30	10	12	6275.330000	0
DS6	30	10	24	6072.900000	0
DS1	50	10	3	2631.590000	0
DS2	50	10	5	1417.010000	0
DS3	50	10	7	1417.010000	0
DS4	50	10	3	2429.160000	0
DS5	50	10	5	6275.330000	0
DS6	50	10	16	6072.900000	0
DS1	70	10	3	2631.590000	0
DS2	70	10	1	1417.010000	0
DS3	70	10	1	1417.010000	0
DS4	70	10	2	2429.160000	0
DS5	70	10	5	6275.330000	0
DS6	70	10	13	6072.900000	0
DS1	90	10	4	2631.590000	0
DS2	90	10	2	1417.010000	0
DS3	90	10	3	1417.010000	0
DS4	90	10	3	2429.160000	0
DS5	90	10	7	6275.330000	0
DS6	90	10	7	6072.900000	0
DS1	10	30	4	2631.590000	0
DS2	10	30	3	1417.010000	0
DS3	10	30	15	1417.010000	0
DS4	10	30	10	2429.160000	0
DS5	10	30	20	6275.330000	0
DS6	10	30	25	6072.900000	0
DS1	30	30	2	2631.590000	0
DS2	30	30	1	1417.010000	0
DS3	30	30	7	1417.010000	0
DS4	30	30	7	2429.160000	0
DS5	30	30	12	6275.330000	0
DS6	30	30	23	6072.900000	0
DS1	50	30	3	2631.590000	0
DS2	50	30	5	1417.010000	0
DS3	50	30	7	1417.010000	0
DS4	50	30	3	2429.160000	0
DS5	50	30	6	6275.330000	0
DS6	50	30	16	6072.900000	0
DS1	70	30	3	2631.590000	0
DS2	70	30	1	1417.010000	0
DS3	70	30	1	1417.010000	0
DS4	70	30	2	2429.160000	0
DS5	70	30	5	6275.330000	0
DS6	70	30	13	6072.900000	0
DS1	90	30	4	2631.590000	0
DS2	90	30	2	1417.010000	0
DS3	90	30	3	1417.010000	0
DS4	90	30	3	2429.160000	0
DS5	90	30	7	6275.330000	0
DS6	90	30	7	6072.900000	0
DS1	10	50	8	2631.590000	0
DS2	10	50	4	1417.010000	0
DS3	10	50	16	1417.010000	0
DS4	10	50	10	2429.160000	0
DS5	10	50	20	6275.330000	0
DS6	10	50	37	6072.900000	0
DS1	30	50	2	2631.590000	0
DS2	30	50	1	1417.010000	0
DS3	30	50	7	1417.010000	0
DS4	30	50	7	2429.160000	0
DS5	30	50	12	6275.330000	0
DS6	30	50	23	6072.900000	0
DS1	50	50	3	2631.590000	0
DS2	50	50	5	1417.010000	0
DS3	50	50	7	1417.010000	0
DS4	50	50	3	2429.160000	0
DS5	50	50	6	6275.330000	0
